outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All
76,"Westchester Sq - E Tremont, 6 train ",55 WESTCHESTER SQ Bronx NY 10461,10461,walgreens,Y,Y,Y,Rachel,BX,JP,52/240,52,240,62/240,62,240,RL,40/219,40,219,45/219,45,219,,,,,,,
77,"Westchester Sq - E Tremont, 6 train ",134 WESTCHESTER SQUARE Bronx NY 10461,10461,Vendor empty,Y,Y,Y,,BX,JP,0/15,0,15,0/15,0,15,SA,8/12,8,12,8/12,8,12,,,,,,,
78,"Westchester Sq - E Tremont, 6 train ",15 WESTCHESTER SQ Bronx NY 10461,10461,partially blocked by vendor,Y,Y,Y,,BX,RL,0/12,0,12,0/10,0,10,SA,4/16,4,16,5/16,5,16,JP,4/14,4,14,4/14,4,14
79,"125 St, 1 train",3137 BROADWAY Manhattan NY 10027,10027,,Y,Y,Y; good pictures,Sally,MN,RL,13/34,12,34,15/34,15,34,SS,12/35,12,35,15/35,15,35,SA,15/35,15,35,16/35,16,35
80,"125 St, 1 train",3189 BROADWAY Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,31/140,31,140,39/140,39,140,SS,27/131,27,131,32,32,131,,,,,,,
81,"125 St, 1 train",3161 BROADWAY Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,8/14,8,14,8/14,8,14,SS,9/25,9,25,10/25,10,1/25,,,,,,,
82,"125 St, 1 train",568 W 125TH ST Manhattan NY 10027,10027,cigarette counter cut off/pharmacy,Y,Y,Y; good pictures,Sally,MN,RL,37/195,37,195,49/195,49,195,SS,37/199,37,199,50/199,50,199,,,,,,,
83,"125 St, 1 train",566 W 126TH ST Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,8/30,8,30,14/30,14,30,SS,8/24,8,24,8/24,8,24,,,,,,,
84,"125 St, 1 train",501 W 125TH ST Manhattan NY 10027,10027,,Y,Y,Y; acceptable,Sally,MN,SA,9/40,9,40,9/40,9,40,SS,9/12,9,12,10/24,10,12,,,,,,,
85,"125 St, 1 train",3149 BROADWAY Manhattan NY 10027,10027,bad images,Y,N,,,MN,SA,4/14,4,14,5/14,5,14,SS,3/14,3,14,4/14,4,14,,,,,,,
86,"96th St, 1, 2, &3 train",700 AMSTERDAM AVE Manhattan NY 10025,10025,,Y,Y,Y; acceptable,Sally,MN,SA,52/129,52,129,63/129,63,129,SS,55/95,55,95,58/95,58,95,,,,,,,
87,"96th St, 1, 2, &3 train",2482 BROADWAY Manhattan NY 10025,10025,,Y,Y,Y; good but covered,Sally ,MN,SA,25/120,25,120,33/120,33,120,SS,30/109,30,109,37/109,37,109,,,,,,,
88,"96th St, 1, 2, &3 train", 214 W 96TH ST Manhattan NY 10025,10025,,Y,Y,Y; acceptable,Sally,MN,SA,7/27,7,27,8/27,8,27,SS,5/24,5,24,6/24,6,24,,,,,,,
89,"96th St, 1, 2, &3 train",2567 BROADWAY Manhattan NY 10025,10025,pharmacy,Y,Y,Y; good,Sally,MN,AV,38/225,38,225,43/225,43,225,SS,54/163,54,163,59/163,59,163,,,,,,,
90,"96th St, 1, 2, &3 train",2575 BROADWAY Manhattan NY 10025,10025,,Y,Y,Y; good,Sally,MN,AV,51/232,51,232,64/232,64,232,SS,56/205,56,205,67/205,67,205,,,,,,,
91,"96th St, 1, 2, &3 train",2528 BROADWAY Manhattan NY 10025,10025,photos maybe be switched with the outlet below,Y,Y,Y; acceptable,Sally,MN,SA,8/85,8,85,11/85,11,85,SS,55/253,55,253,67/253,67,253,,,,,,,
92,"Canal St, 1 & 2 train",17 THOMPSON ST Manhattan NY 10013,10013,,Y,Y,Y; acceptable,Sally,MN,SA,7/24,7,24,8/24,8,24,SS,8/25,8,25,9/25,9,25,,,,,,,
93,"Cortlandt St, N & R train",1 LIBERTY PLZ Manhattan NY 10006,10006,,Y,Y,Y; acceptable,Sally,MN,SA,5/36,5,36,7/36,7,36,SS,3/30,3,30,4/30,4,30,,,,,,,
94,"Cortlandt St, N & R train",6 CORTLANDT ST Manhattan NY 10007,10007,,Y,Y,Y; acceptable,Sally,MN,SA,15/66,15,66,22/66,22,66,SS,12/58,12,58,14/58,14,58,,,,,,,
95,"Cortlandt St, N & R train",7 DEY ST Manhattan NY 10007,10007,,Y,Y,Y; far but acceptable,Sally,MN,SA,5/25,5,25,6/25,6,25,SS,23/114,23,114,23/114,23,114,,,,,,,
